--- USER DIAGNOSTIC ---
User: marce@padelq.com, Email: marce@padelq.com, Name: Marcelo, DNI: 12333444
User: 44355666, Email: , Name: Marcelo P., DNI: 44355666
User: profe@padelq.com, Email: profe@padelq.com, Name: Profesores, DNI: 11222333
User: comercio@padelq.com, Email: comercio@padelq.com, Name: comercio, DNI: 44556777
User: Admin, Email: admin@padelq.com, Name: Administrador Sistema, DNI: 
User: 33666777, Email: , Name: Juan , DNI: 33666777
User: pedro1@padelq.com, Email: pedro1@padelq.com, Name: pedro Juan, DNI: 28675910
User: pedro@padelq.com, Email: pedro@padelq.com, Name: pedro, DNI: 45232567
User: user@padelq.com, Email: user@padelq.com, Name: user, DNI: 12342355
User: 11333555, Email: , Name: juancito, DNI: 11333555
User: vendedor@padelq.com, Email: vendedor@padelq.com, Name: Vendedor, DNI: 13456789
------------------------
